2670	7837	7362	4358	4946	5486	2503	3899	6366	6608	3987	6696	6744	3105	3873	3763	2591	1673	2899
2626	7689	7184	4450	4932	5501	2523	3875	6814	6551	4062	6692	6584	3093	3949	3838	2667	1696	2836
2921	8467	7581	4907	5316	6081	2618	4197	7309	7670	4500	7740	7275	3294	3994	4061	3190	1702	2996
2500	9459	9479	4280	5513	6023	2539	4137	7931	10673	4657	7215	9124	3197	3739	3776	2644	1657	2906
2760	8086	7652	4492	5086	5617	2557	4057	6721	6798	4155	6860	6875	3163	3952	3831	2694	1717	2942
2744	8074	7449	4614	5070	5666	2590	3974	7345	6787	4212	6905	6791	3154	4032	3913	2776	1746	2950
3071	8631	7889	5153	5544	6338	2755	4277	7224	8081	4721	8028	7538	3410	4077	4194	3317	1777	3143
2588	9703	9869	4346	5560	6234	2592	4228	8142	10870	4815	7491	9359	3281	3828	3844	2671	1712	2967
2867	7842	7723	4631	5190	5801	2646	4083	6969	7116	4278	7135	7229	3268	4054	3919	2766	1785	3026
2867	7680	7590	4789	5140	5827	2683	4082	7547	7022	4340	7086	6941	3261	4042	4014	2888	1815	3050
3239	8449	8393	5448	5793	6569	2914	4520	7890	8307	4991	8383	7902	3660	4177	4483	3495	1897	3314
2669	9406	9876	4522	5525	6146	2622	4263	8350	10702	4848	7450	9190	3311	3732	3839	2708	1758	3014
